,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,È‡Í ‚‹ŸŸ‘,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·Í ‚‹ŸŸ‘,
,1/11/2023,70,Michigan,Ma'ale Adumim,Business,2023,Male,Married,Oleh,8/23/2022,LY18,
,1/11/2023,64,NJ,Zikhron Ya'akov,Sciences,2023,Male,Married,Ezrach Oleh,4/8/2022,LY28,
,1/11/2023,58,NJ,Zikhron Ya'akov,Sciences,2023,Female,Married,Oleh,4/8/2022,LY28,
,1/11/2023,25,New Jersey,Bet Shemesh,Video Editor,2023,Male,Single,,,,
,1/11/2023,72,,Jerusalem,Social Work,2023,Female,Married,Oleh,5/15/2022,LY28,
,1/11/2023,71,,Jerusalem,Rabbinate,2023,Male,Married,Oleh,5/15/2022,LY28,
,1/11/2023,55,New Jersey,Nofei Eden,Data Analyst,2023,Male,Married,,,,
,1/11/2023,68,Illinois,Jerusalem,Journalism,2023,Male,Divorced,,4/11/2022,,
,1/11/2023,19,,Jerusalem,,2023,Female,Single,,,,
,1/11/2023,21,Ontario,Tel Aviv-Yafo,Student,2023,Female,Single,Oleh,9/14/2022,LY28,
,1/11/2023,44,California,Tel Aviv-Yafo,Acupuncture,2023,Male,Single,,,,
,1/11/2023,23,New York,Jerusalem,Student,2023,Female,Single,Oleh,10/27/2022,LY28,
,1/11/2023,19,New York,Jerusalem,Martial Arts,2023,Male,Single,,,,
,1/11/2023,23,,Jerusalem,Bookkeeper,2023,Female,Married,,,,
,1/11/2023,0,,Jerusalem,,2023,Male,Child,,,,
,1/11/2023,24,,Jerusalem,,2023,Female,Married,,,,
,1/11/2023,21,,Jerusalem,,2023,Male,Married,,,,
,1/11/2023,19,Maryland,Betar Illit,Student,2023,Female,Married,,,,
,1/11/2023,23,,Jerusalem,,2023,Female,Married,,,,
,1/11/2023,56,Ontario,Bet Shemesh,Education - Early Childhood,2023,Female,Married,,,,
,1/11/2023,23,Florida,Yagur,,2023,Female,Single,,,,
,1/11/2023,28,,Safed,,2023,Male,Married,,,,
,1/11/2023,24,Florida,Herzliya,Student,2023,Female,Single,,,,
,1/11/2023,59,,Ra'anana,Lawyer,2023,Male,Divorced,,,,
,1/11/2023,36,,Jerusalem,,2023,Male,Married,,,,
,1/11/2023,20,,ﬁ’”Ÿ‚Ÿﬂ ‚Ÿ‹ŸÍ,Childcare,2023,Female,Single,,,,
,1/11/2023,25,,nof hagalil,,2023,Female,Single,,,,
,1/11/2023,26,New York,Tel Aviv-Yafo,Nurse,2023,Female,Single,Ezrach Oleh,12/8/2022,LY28,
,1/11/2023,19,Washington,Migdal Oz,Student,2023,Female,Single,,,,
,1/11/2023,26,Florida,Rishon LeTsiyon,Assistant Manager,2023,Male,Single,Ezrach Oleh,11/28/2022,LY18,
,1/11/2023,29,California,Efrat,Operations,2023,Male,Single,,,,
,1/11/2023,27,,,,2023,Female,Single,,,,
,1/11/2023,23,,Modi'in Ilit,Student,2023,Male,Married,,,,
,1/11/2023,18,,Modi'in Ilit,Student,2023,Female,Single,,,,
,1/11/2023,24,,Jerusalem,Other,2023,Male,Single,,,,
,1/11/2023,19,New Jersey,Jerusalem,Student,2023,Female,Single,,,,
,1/11/2023,21,NY,Jerusalem,,2023,Male,Married,,,,
,1/11/2023,21,,Ashdod,,2023,Female,Married,,,,
,1/11/2023,20,California,Jerusalem,Student,2023,Female,Married,,,,
,1/12/2023,29,Ontario,Jerusalem,Other,2023,Female,Single,Ezrach Oleh,12/7/2022,AC80,
,1/12/2023,49,Massachusetts,Ashkelon,Public Relations,2023,Female,Single,Oleh,9/13/2022,UA6053/UA046/UA9240,
,1/16/2023,42,Ontario,Netanya,Real Estate Agent,2023,Male,Married,Ezrach Oleh,11/8/2022,AC80,
,1/16/2023,42,Ontario,Netanya,Administration,2023,Female,Married,Oleh,11/8/2022,AC80,
,1/16/2023,10,Ontario,Netanya,,2023,Male,Child,Oleh,11/8/2022,AC80,
,1/16/2023,8,Ontario,Netanya,,2023,Male,Child,Oleh,11/8/2022,AC80,
,1/16/2023,7,Ontario,Netanya,,2023,Female,Child,Oleh,11/8/2022,AC80,
,1/16/2023,5,Ontario,Netanya,,2023,Male,Child,Oleh,11/8/2022,AC80,
,1/16/2023,3,Ontario,Netanya,,2023,Female,Child,Oleh,11/8/2022,AC80,
,1/16/2023,22,Ontario,Netanya,Social Work,2023,Female,Single,Oleh,11/8/2022,AC80,
,1/17/2023,22,Quebec,Jerusalem,Student,2023,Male,Single,,,,
,1/17/2023,24,New York,Jerusalem,Student,2023,Male,Married,,,,
,1/18/2023,0,Ontario,Jerusalem,,2023,Male,Child,Oleh,9/21/2022,,
,1/18/2023,27,New York,Jerusalem,Customer Service,2023,Female,Single,,6/11/2021,,
,1/18/2023,73,New York,Jerusalem,CRA/CRO,2023,Male,Married,Oleh,10/12/2021,DL234,
,1/18/2023,69,New York,Jerusalem,Librarian/Library Science,2023,Female,Married,Oleh,10/12/2021,DL234,
,1/18/2023,32,,Jerusalem,Student,2023,Male,Married,,,,
,1/18/2023,31,,Jerusalem,,2023,Male,Married,,,,
,1/18/2023,39,,Jerusalem,Sales,2023,Male,Married,,,,
,1/18/2023,61,,Jerusalem,Physicist,2023,Male,Widowed,,,,
,1/18/2023,23,Georgia,Jerusalem,,2023,Female,Single,,,,
,1/18/2023,32,,Jerusalem,,2023,Female,Married,,,,
,1/18/2023,23,,Jerusalem,,2023,Male,Married,,,,
,1/18/2023,29,,Jerusalem,,2023,Male,Married,,,,
,1/18/2023,26,,Jerusalem,Student,2023,Male,Married,,,,
,1/18/2023,30,,Jerusalem,Kollel,2023,Male,Married,,,,
,1/18/2023,18,,Jerusalem,Student,2023,Female,Single,,,,
,1/18/2023,27,,Jerusalem,,2023,Female,Married,,,,
,1/18/2023,19,,Bet Shemesh,,2023,Female,Single,,,,
,1/21/2023,21,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,1/22/2023,29,,Bet Shemesh,,2023,Female,Married,,,,
,1/23/2023,58,California,Tel Aviv-Yafo,Interior Design,2023,Female,Married,Oleh,9/12/2022,LY06,
,1/23/2023,67,New York,Jerusalem,Interior Design,2023,Female,Married,,,,
,1/23/2023,25,,Jerusalem,Academia,2023,Female,Married,,,,
,1/23/2023,2,,Jerusalem,,2023,Male,Child,,,,
,1/24/2023,84,New York,Jerusalem,Retirement,2023,Female,Married,Oleh,8/12/2021,LY02,
,1/24/2023,88,New York,Jerusalem,Retirement,2023,Male,Married,Oleh,8/12/2021,LY02,
,1/24/2023,58,New York,Beit El,IT Manager,2023,Male,Married,Ezrach Oleh,6/9/2022,UA84,
,1/25/2023,22,New York,Hadid,Secretary,2023,Female,Married,,,,
,1/25/2023,32,,Jerusalem,Student,2023,Male,Married,,,,
,1/25/2023,25,,Betar Illit,Kollel,2023,Male,Married,,,,
,1/25/2023,64,Illinois,Jerusalem,Physician,2023,Male,Married,Oleh,2/14/2022,UA140,
,1/25/2023,64,Illinois,Jerusalem,Interior Design,2023,Female,Married,Oleh,2/14/2022,UA140,
,1/25/2023,54,Florida,Jerusalem,Lawyer,2023,Male,Divorced,,,,
,1/25/2023,45,,Jerusalem,Admin Assistant,2023,Female,Divorced,,,,
,1/25/2023,72,California,Jerusalem,,2023,Male,Married,,,,
,1/25/2023,89,New York,Ra'anana,Retirement,2023,Male,Married,,,,
,1/25/2023,87,New York,Ra'anana,Retirement,2023,Female,Married,,,,
,1/25/2023,26,Quebec,Tel Aviv-Yafo,Entrepreneur,2023,Female,Single,,,,
,1/25/2023,26,New York,Beit Me'ir,Student,2023,Male,Single,,,,
,1/25/2023,35,New York,Tel Aviv,Student,2023,Female,Single,,,,
,1/25/2023,23,,Jerusalem,,2023,Male,Single,,,,
,1/25/2023,24,New York,Modiin,Academia,2023,Female,Single,,,,
,1/25/2023,25,Idaho,Rehovot,Education - Elementary,2023,Female,Single,,,,
,1/25/2023,23,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,1/25/2023,19,New York,Pedu'el,Education - Jewish,2023,Male,Single,,,,
,1/25/2023,23,,Tel Aviv-Yafo,,2023,Female,Single,,,,
,1/25/2023,24,Idaho,Tel Aviv-Yafo,,2023,Female,Single,,,,
,1/25/2023,35,California,Rishon LeTsiyon,Public Relations,2023,Female,Married,,,,
,1/25/2023,20,New York,Betar Illit,Kollel,2023,Male,Married,,,,
,1/25/2023,52,New York,Ra'anana,Physician,2023,Male,Married,,,,
,1/25/2023,32,,Nirit,Environmental Science,2023,Female,Single,,,,
,1/25/2023,26,New York,Haifa,Urban Planner,2023,Female,Single,,,,
,1/25/2023,24,,Jerusalem,,2023,Female,Single,,,,
,1/25/2023,25,New York,Jerusalem,Student,2023,Female,Single,,,,
,1/25/2023,69,,Jerusalem,Nurse,2023,Female,Widowed,,,,
,1/25/2023,33,,Ma'ale Amos,Education Other,2023,Female,Married,,,,
,1/25/2023,11,,Ma'ale Amos,,2023,Female,Child,,,,
,1/25/2023,7,,Ma'ale Amos,,2023,Female,Child,,,,
,1/25/2023,5,,Ma'ale Amos,,2023,Female,Child,,,,
,1/25/2023,2,,Ma'ale Amos,,2023,Female,Child,,,,
,1/25/2023,0,,Ma'ale Amos,,2023,Female,Child,,,,
,1/25/2023,33,,Kfar Habad,,2023,Male,Married,,,,
,1/25/2023,32,California,Tel Aviv,Advertising,2023,Male,Single,,,,
,1/25/2023,72,New York,Jerusalem,,2023,Male,Married,,,,
,1/25/2023,81,,Giv'at Shmuel,,2023,Male,Married,,,,
,1/25/2023,81,Illinois,Betar Illit,Retirement,2023,Female,Divorced,,,,
,1/25/2023,25,,Jerusalem,Education - High School,2023,Female,Married,,,,
,1/25/2023,19,,Jerusalem,,2023,Male,Single,,,,
,1/25/2023,29,,Holon,Student,2023,Female,Single,,,,
,1/25/2023,21,Washington,Herzliya,Student,2023,Female,Single,,,,
,1/25/2023,32,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,1/25/2023,20,,Tel Aviv-Yafo,,2023,Male,Single,,,,
,1/25/2023,32,,Afula,,2023,Female,Married,,,,
,1/26/2023,23,Colorado,Tirat Carmel,Student,2023,Female,Single,Ezrach Oleh,12/13/2022,LY06,
,1/26/2023,62,British Columbia,Beit Shemesh,Other,2023,Female,Married,Oleh Miyom Shuvo,7/5/2022,LY06,
,1/26/2023,63,British Columbia,Beit Shemesh,Engineer - Environmental,2023,Male,Married,Oleh,7/5/2022,LY06,
,1/26/2023,48,Washington,Haifa,Dental Hygienist,2023,Female,Married,Oleh,3/22/2022,LY06,
,1/26/2023,18,Washington,Haifa,,2023,Female,Child,Temporary Resident,3/22/2022,LY06,
,1/26/2023,14,Washington,Haifa,,2023,Female,Child,Temporary Resident,3/22/2022,LY06,
,1/26/2023,55,Washington,Haifa,Business,2023,Male,Married,Oleh,3/22/2022,LY06,
,1/26/2023,11,Washington,Haifa,,2023,Male,Child,Temporary Resident,3/22/2022,LY06,
,1/26/2023,7,Washington,Haifa,,2023,Female,Child,Temporary Resident,3/22/2022,LY06,
,1/26/2023,24,California,Mahseya,Finance - Advisor,2023,Male,Married,Ezrach Oleh,12/15/2022,LY06,
,1/26/2023,69,California,Beit Shemesh,UX/UI Designer,2023,Female,Married,Oleh,9/21/2022,LY06,
,1/26/2023,23,California,Jerusalem,Chemist,2023,Male,Single,Katin Chozer,10/12/2022,LY06,
,1/26/2023,25,,Jerusalem,,2023,Male,Single,,,,
,1/29/2023,6,Florida,Tel Aviv-Yafo,,2023,Female,Child,Temporary Resident,7/7/2022,TK78/TK7888,
,1/29/2023,42,Florida,Tel Aviv-Yafo,Product Development,2023,Male,Married,Oleh,7/7/2022,TK78/TK7888,
,1/29/2023,38,Florida,Tel Aviv-Yafo,Medical Lab Worker,2023,Female,Married,Oleh,7/7/2022,TK78/TK7888,
,1/29/2023,2,Florida,Tel Aviv-Yafo,,2023,Female,Child,Temporary Resident,7/7/2022,TK78/TK7888,
,1/31/2023,25,New York,Jerusalem,Student,2023,Female,Single,Temporary Resident,4/23/2019,,
,1/31/2023,25,Ontario,Tel Aviv-Yafo,Media,2023,Female,Single,,,,
,2/1/2023,92,Maryland,Jerusalem,Education Administration,2023,Female,Widowed,Oleh,4/13/2021,LY08,
,2/1/2023,56,New York,Tel Aviv-Yafo,Architecture,2023,Female,Single,Oleh,7/28/2021,LY08,
,2/1/2023,48,New York,Jerusalem,Social Work,2023,Female,Married,Oleh,11/17/2022,LY08,
,2/1/2023,24,Connecticut,Jerusalem,Human Resources/Recruitment,2023,Female,Single,Oleh,11/9/2022,LY08,
,2/1/2023,72,New York,Bet Shemesh,Education - High School,2023,Female,Married,Oleh,9/8/2022,LY08,
,2/1/2023,75,New York,Bet Shemesh,Architecture,2023,Male,Married,Oleh,9/8/2022,LY08,
,2/1/2023,75,New York,Jerusalem,Retirement,2023,Female,Divorced,Oleh,9/16/2022,LY08,
,2/1/2023,70,New York,Jerusalem,Retirement,2023,Female,Single,Oleh,8/25/2022,LY08,
,2/1/2023,60,Ohio,Jerusalem,Mechanic,2023,Male,Married,Oleh,12/13/2022,LY08,
,2/1/2023,60,Maryland,Jerusalem,Engineer - Computer,2023,Female,Single,Oleh,7/18/2022,LY08,
,2/1/2023,72,Maryland,Jerusalem,Retirement,2023,Female,Married,Oleh,5/11/2022,LY08,
,2/1/2023,73,Maryland,Jerusalem,Actuary,2023,Male,Married,Oleh,5/11/2022,LY08,
,2/1/2023,72,New Jersey,Jerusalem,Self Employed/Small Business,2023,Male,Married,Oleh,11/1/2022,LY08,
,2/1/2023,27,California,Ramat Gan,Other,2023,Male,Single,Oleh,4/4/2022,LY18,
,2/1/2023,75,New Jersey,Jerusalem,Environmental Science,2023,Female,Married,Gorer Zakaut (Haarachat zakaut),10/3/2022,UA9254/ LH680,
,2/1/2023,76,New Jersey,Jerusalem,Mathematician,2023,Male,Married,Gorer Zakaut (Haarachat zakaut),10/3/2022,UA9254/ LH680,
,2/1/2023,32,Oregon,Tel Aviv,Customer Service,2023,Male,Single,Oleh,8/2/2022,LY08,
,2/1/2023,65,Massachusetts,Netanya,Physician,2023,Male,Married,Oleh,11/10/2022,LY08,
,2/1/2023,64,Massachusetts,Netanya,Education Administration,2023,Female,Married,Oleh,11/10/2022,LY08,
,2/1/2023,53,Florida,Ra'anana,Physician,2023,Male,Married,Oleh,10/20/2022,LY08,
,2/1/2023,39,Florida,Ra'anana,Physician,2023,Female,Married,Oleh,10/20/2022,LY08,
,2/1/2023,4,Florida,Ra'anana,,2023,Male,Child,Oleh,10/20/2022,LY08,
,2/1/2023,0,Florida,Ra'anana,,2023,Male,Child,Oleh,10/20/2022,LY08,
,2/1/2023,35,New York,Pardes Hanna-Karkur,Fashion,2023,Female,Single,Oleh,9/15/2022,LY08,
,2/1/2023,,Michigan,Modi'in-Maccabim-Re'ut,,2023,Female,Child,Oleh,9/23/2022,LY08,
,2/1/2023,38,Michigan,Modi'in-Maccabim-Re'ut,Lawyer,2023,Female,Married,Oleh,9/23/2022,LY08,
,2/1/2023,40,Michigan,Modi'in-Maccabim-Re'ut,Physician,2023,Male,Married,Oleh,9/23/2022,LY08,
,2/1/2023,12,Michigan,Modi'in-Maccabim-Re'ut,,2023,Male,Child,Oleh,9/23/2022,LY08,
,2/1/2023,11,Michigan,Modi'in-Maccabim-Re'ut,,2023,Female,Child,Oleh,9/23/2022,LY08,
,2/1/2023,2,Michigan,Modi'in-Maccabim-Re'ut,,2023,Male,Child,Oleh,9/23/2022,LY08,
,2/1/2023,28,New Jersey,Beit Shemesh,Social Work,2023,Male,Married,Oleh,11/22/2022,LY08,
,2/1/2023,27,New Jersey,Beit Shemesh,Nurse,2023,Female,Married,Oleh,11/22/2022,LY08,
,2/1/2023,1,New Jersey,Beit Shemesh,,2023,Female,Child,Oleh,11/22/2022,LY08,
,2/1/2023,20,California,Herzliya,Student,2023,Female,Single,Temporary Resident,9/7/2022,,
,2/1/2023,36,New York,Tel Aviv-Yafo,Fashion,2023,Female,Single,Katin Chozer,9/7/2022,LY08,
,2/1/2023,30,New York,Jerusalem,Social Work,2023,Female,Single,Katin Chozer,10/26/2022,LY08,
,2/1/2023,31,New Jersey,Netanya,Operations,2023,Male,Single,Katin Chozer,10/21/2022,LY08,
,2/1/2023,24,New York,Jerusalem,Student,2023,Male,Married,,,,
,2/2/2023,26,New York,Jerusalem,Accountant-Tax,2023,Male,Married,Temporary Resident,10/14/2016,,
,2/2/2023,31,Ohio,Haifa,Other,2023,Male,Single,Oleh,9/15/2022,LY18,
,2/2/2023,0,New York,Jerusalem,,2022,Female,Child,,,,
,2/3/2023,25,New York,Ramat HaKovesh,Student,2023,Male,Single,,,,
,2/3/2023,74,California,Jerusalem,Social Work,2023,Female,Married,Oleh,12/14/2022,LY06,
,2/3/2023,84,California,Jerusalem,Retirement,2023,Male,Married,Oleh,12/14/2022,LY06,
,2/3/2023,22,Ontario,Tel Aviv,Research Analyst,2023,Female,Single,,,,
,2/5/2023,23,,Netanya,,2023,Male,Single,,,,
,2/6/2023,18,,Tel Aviv,Food Services,2023,Female,Single,,,,
,2/7/2023,67,Indiana,Ramat Beit Shemesh,Retirement,2023,Female,Married,Oleh,9/29/2022,LY18,
,2/7/2023,72,Indiana,Ramat Beit Shemesh,Lawyer,2023,Male,Married,Oleh,9/29/2022,LY18,
,2/7/2023,56,Florida,Netanya,Project Manager,2023,Female,Divorced,Oleh,11/3/2022,LY18,
,2/7/2023,24,Georgia,Ramat Gan,Data Scientist,2023,Male,Single,Oleh,10/31/2022,LY18,
,2/7/2023,24,New Jersey,Kefar Sava,Basketball Player,2023,Male,Single,Oleh,12/8/2022,LY18,
,2/8/2023,73,California,Jerusalem,Physician,2023,Male,Married,Oleh,8/31/2021,LY06,
,2/8/2023,18,Quebec,Yavne,Student,2023,Female,Single,Ezrach Oleh,4/12/2022,AC411/AC80,
,2/8/2023,61,Ontario,Harish,Psychologist - Clinical,2023,Male,Married,Oleh,11/8/2022,AC80,
,2/8/2023,59,Ontario,Harish,Homemaker,2023,Female,Married,Oleh,11/8/2022,AC80,
,2/8/2023,24,California,Holon,Childcare,2023,Female,Single,Oleh,10/19/2022,LY06,
,2/8/2023,20,California,Haifa,,2023,Female,Single,Katin Chozer,12/12/2022,LY06,
,2/8/2023,21,,Herzliya,,2023,Female,Single,,,,
,2/10/2023,52,New York,Bat Yam,Administration,2023,Male,Married,,12/1/2022,,
,2/10/2023,24,New York,Or Yehuda,Law,2023,Male,Single,,,,
,2/13/2023,68,New York,Jerusalem,Retirement,2023,Female,Married,Oleh,11/16/2022,LY02,
,2/13/2023,66,New York,Jerusalem,Project Manager,2023,Male,Married,Oleh,11/16/2022,LY02,
,2/13/2023,25,California,Tel Aviv-Yafo,Social Media Manager,2023,Female,Single,,,,
,2/14/2023,64,Maryland,Efrat,Physician,2023,Male,Married,Oleh,8/16/2021,UA90,
,2/14/2023,65,Maryland,Efrat,Homemaker,2023,Female,Married,Oleh,8/16/2021,UA90,
,2/15/2023,59,California,Tel Aviv-Yafo,Finance - Investment,2023,Female,Divorced,Oleh,8/24/2022,UA215/UA954,
,2/15/2023,32,,Jerusalem,,2023,Female,Single,,,,
,2/15/2023,37,,Jerusalem,,2023,Male,Single,,,,
,2/16/2023,83,New York,ŸË’È‹Ÿ›,Physician,2023,Male,Married,Oleh,9/22/2022,LY28,
,2/16/2023,76,New York,ŸË’È‹Ÿ›,Physician,2023,Female,Married,Oleh,9/22/2022,LY28,
,2/16/2023,67,Massachusetts,Zikhron Ya'akov,Engineer - Environmental,2023,Male,Widowed,Oleh Miyom Shuvo,9/22/2022,LY28,
,2/16/2023,74,New York,ŸË’È‹Ÿ›,Veterinarian,2023,Male,Married,Oleh,1/17/2022,LY28,
,2/16/2023,73,New York,ŸË’È‹Ÿ›,Other,2023,Female,Married,Oleh,1/17/2022,LY28,
,2/16/2023,35,Massachusetts,ŸË’È‹Ÿ›,Programmer JAVA,2023,Male,Single,Oleh Miyom Shuvo,5/4/2021,LY28,
,2/16/2023,41,New York,ŸË’È‹Ÿ›,Assistant Manager,2023,Male,Married,Oleh,11/3/2022,LY28,
,2/16/2023,59,Wyoming,Tel Aviv,Non Profit,2023,Female,Married,Oleh,6/14/2022,LY28,
,2/16/2023,41,Texas,Tel Aviv-Yafo,Real Estate - Property Manager,2023,Male,Married,Oleh,1/4/2022,NK3161/LY18,
,2/16/2023,68,New York,Í‹-–—Ÿ—,Construction Management,2023,Male,Divorced,Oleh,4/18/2022,LY28,
,2/16/2023,78,New York,Jerusalem,Lawyer,2023,Male,Married,Oleh,8/31/2022,LY28,
,2/16/2023,77,New York,Jerusalem,Other,2023,Female,Married,Oleh,8/31/2022,LY28,
,2/16/2023,59,Maine,—–Ë È—‚,Database Administration,2023,Female,Married,Oleh,12/12/2022,LY28,
,2/16/2023,61,Maine,—–Ë È—‚,Rabbinate,2023,Male,Married,Oleh,12/12/2022,LY28,
,2/16/2023,76,New Jersey,ŸË’È‹Ÿ›,Management Consultant,2023,Male,Married,Oleh,9/12/2022,LY28,
,2/16/2023,74,New Jersey,ŸË’È‹Ÿ›,Physician Retired,2023,Female,Married,Oleh,9/12/2022,LY28,
,2/16/2023,34,New York,–’Ë Ÿ‘’”‘,Video Editor,2023,Male,Single,Ezrach Oleh,11/21/2022,LY28,
,2/16/2023,63,New Jersey,Netanya,Nurse,2023,Female,Married,Oleh,6/27/2022,LY28,
