,,,Í–ËŸ⁄ ‚‹ŸŸ‘,“Ÿ‹,ﬁ”Ÿ‡Í ﬁÁ’Ë,‚ŸË ﬁ“’ËŸ› —ŸÈË–‹,ﬁÁÊ’‚,ﬁ“”Ë,ﬁÊ— ﬁÈ‰◊ÍŸ,·ÿÿ’· ‚‹ŸŸ‘,Í–ËŸ⁄ Ë–Ÿ’ﬂ ‚‹ŸŸ‘,ﬁ·' ÿŸ·‘,‘ÈÍŸŸ€’Í ”ÍŸÍ,Í’–Ë,
,,,1/4/2023,65,New York,Tel Aviv-Yafo,Finance,Female,Married,Oleh,9/21/2022,LY26,Reform,JD,
,,,1/4/2023,31,New York,Tel Aviv-Yafo,Sales,Female,Single,Oleh,10/31/2022,LY26,Conservative,,
,,,1/4/2023,28,New York,Tel Aviv-Yafo,Software Engineer,Male,Single,Ezrach Oleh,11/8/2022,LY26,Non-Affiliated,,
,,,1/4/2023,25,Ohio,Tel Aviv-Yafo,Speech Therapist/Pathologist,Female,Single,Oleh,11/29/2022,DL234,Modern Orthodox,Masters Degree,
,,,1/4/2023,22,Maryland,Ashkelon,Student,Male,Single,Oleh,11/15/2022,UA84,Conservative,,
,,,1/4/2023,75,,Rehovot,,Male,Married,,,,Conservative,,
,,,1/4/2023,74,Maryland,Modiin,Import/Export,Male,Married,,,,Modern Orthodox,,
,,,1/4/2023,24,,Tel Aviv-Yafo,,Female,Single,,,,Traditional,,
,,,1/5/2023,31,,Jerusalem,Academia,Male,Single,,11/12/2021,,Conservative,Phd,
,,,1/5/2023,20,California,Herzliya,Student,Male,Single,,,,Orthodox,,
,,,1/5/2023,27,,Bat Yam,,Male,Single,,,,Traditional,,
,,,1/9/2023,24,Michigan,Tel Aviv-Yafo,Business Analyst,Female,Single,Oleh,9/23/2022,LX1485/LX252,Modern Orthodox,,
,,,1/9/2023,23,,Jerusalem,ABA specialist,Male,Married,,,,Orthodox,,
,,,1/9/2023,22,,Jerusalem,Academia,Female,Married,,,,Orthodox,,
,,,1/9/2023,1,,Jerusalem,,Male,Child,,,,Orthodox,,
,,,1/9/2023,23,,Jerusalem,,Male,Married,,,,Frum,,
,,,1/10/2023,42,Florida,Jerusalem,Self Employed/Small Business,Female,Married,,,,Modern Orthodox,,
,,,1/10/2023,15,Florida,Jerusalem,,Male,Child,,,,Modern Orthodox,,
,,,1/10/2023,44,Florida,Jerusalem,Self Employed/Small Business,Male,Married,,,,Modern Orthodox,,
,,,1/10/2023,12,Florida,Jerusalem,,Male,Child,,,,Modern Orthodox,,
,,,1/10/2023,9,Florida,Jerusalem,,Female,Child,,,,Modern Orthodox,,
,,,1/10/2023,31,California,Tel Aviv-Yafo,Transcription,Female,Single,Oleh,10/3/2022,LY06,Reform,,
,,,1/10/2023,57,California,Be'er Sheva,Real Estate Agent,Male,Divorced,Oleh,11/23/2021,LY06,Chabad,,
,,,1/10/2023,19,Arizona,Yagur,Machinist/CNC,Male,Single,Oleh,11/28/2022,LY06,Modern Orthodox,,
,,,1/10/2023,25,Ontario,Jerusalem,Management Consultant,Male,Married,Oleh,11/2/2022,AC80,Modern Orthodox,,
,,,1/10/2023,25,Ontario,Jerusalem,Marketing - Social Media,Female,Married,Oleh,11/2/2022,AC80,Modern Orthodox,Bachelors Degree,
,,,1/10/2023,22,California,Tel Aviv-Yafo,Student,Female,Single,Ezrach Oleh,12/15/2022,LY06,Traditional,,
,,,1/10/2023,21,California,Jerusalem,Professor,Female,Single,Ezrach Oleh,11/2/2022,LY06,Conservative,Masters Degree,
,,,1/10/2023,58,California,Jerusalem,Professor,Female,Separated,Oleh,11/2/2022,LY06,Conservative,Masters Degree,
,,,1/10/2023,30,California,Bnei Brak,Homemaker,Female,Married,,,,Orthodox,,
,,,1/10/2023,31,Quebec,Bat Yam,Student,Male,Single,,,,Conservative,,
,,,1/11/2023,31,Massachusetts,Jerusalem,Design,Female,Single,,,,Reconstructionist,,
,,,1/11/2023,21,New Jersey,Matityahu,,Male,Single,,8/19/2020,,Modern Orthodox,Other,
,,,1/11/2023,25,,Jerusalem,,Male,Married,,,,Orthodox,,
,,,1/11/2023,25,New Jersey,Jerusalem,,Male,Single,,,,Frum,Bachelors Degree,
,,,1/11/2023,69,Michigan,Ma'ale Adumim,Academia,Female,Married,Oleh,8/23/2022,LY18,Orthodox,Masters Degree,
,,,1/11/2023,70,Michigan,Ma'ale Adumim,Business,Male,Married,Oleh,8/23/2022,LY18,Orthodox,,
,,,1/11/2023,64,NJ,Zikhron Ya'akov,Sciences,Male,Married,Ezrach Oleh,4/8/2022,LY28,Modern Orthodox,Masters Degree,
,,,1/11/2023,58,NJ,Zikhron Ya'akov,Sciences,Female,Married,Oleh,4/8/2022,LY28,Modern Orthodox,Masters Degree,
,,,1/11/2023,25,New Jersey,Bet Shemesh,Video Editor,Male,Single,,,,Orthodox,,
,,,1/11/2023,72,,Jerusalem,Social Work,Female,Married,Oleh,5/15/2022,LY28,Orthodox,Masters Degree,
,,,1/11/2023,71,,Jerusalem,Rabbinate,Male,Married,Oleh,5/15/2022,LY28,Orthodox,Phd,
,,,1/11/2023,55,New Jersey,Bet Shemesh,Data Analyst,Male,Married,,,,Orthodox,Masters Degree,
,,,1/11/2023,68,Illinois,Jerusalem,Journalism,Male,Divorced,,4/11/2022,,Conservative,,
,,,1/11/2023,19,,Jerusalem,,Female,Single,,,,Frum,,
,,,1/11/2023,21,Ontario,Tel Aviv-Yafo,Student,Female,Single,Oleh,9/14/2022,LY28,Conservative,,
,,,1/11/2023,44,California,Tel Aviv-Yafo,Acupuncture,Male,Single,,,,Other,,
,,,1/11/2023,23,New York,Jerusalem,Student,Female,Single,Oleh,10/27/2022,LY28,Modern Orthodox,,
,,,1/11/2023,19,New York,Jerusalem,Martial Arts,Male,Single,,,,Frum,,
,,,1/11/2023,23,,Jerusalem,Bookkeeper,Female,Married,,,,Frum,Other,
,,,1/11/2023,0,,Jerusalem,,Male,Child,,,,Chasidish,,
,,,1/11/2023,24,,Jerusalem,,Female,Married,,,,Chasidish,,
,,,1/11/2023,21,,Jerusalem,,Male,Married,,,,Chasidish,,
,,,1/11/2023,19,Maryland,Betar Illit,Student,Female,Married,,,,Orthodox,,
,,,1/11/2023,23,,Jerusalem,,Female,Married,,,,Frum,,
,,,1/11/2023,56,Ontario,Bet Shemesh,Education - Early Childhood,Female,Married,,,,Frum,,
,,,1/11/2023,23,Florida,Yagur,,Female,Single,,,,Conservative,,
,,,1/11/2023,28,,Tsfat,,Male,Married,,,,Frum,,
,,,1/11/2023,24,Florida,Herzliya,Student,Female,Single,,,,Modern Orthodox,,
,,,1/11/2023,59,,Ra'anana,Lawyer,Male,Divorced,,,,Modern Orthodox,,
,,,1/11/2023,36,,Jerusalem,,Male,Married,,,,Yeshivish,,
,,,1/11/2023,20,,Modi'in Ilit,Childcare,Female,Single,,,,Frum,,
,,,1/11/2023,25,,Nof Hagalil,,Female,Single,,,,Frum,,
,,,1/11/2023,26,New York,Tel Aviv-Yafo,Nurse,Female,Single,Ezrach Oleh,12/8/2022,LY28,Modern Orthodox,Bachelors Degree,
,,,1/11/2023,19,Washington,Migdal Oz,Student,Female,Single,,,,Modern Orthodox,,
,,,1/11/2023,26,Florida,Rishon LeTsiyon,Assistant Manager,Male,Single,Ezrach Oleh,11/28/2022,LY18,Conservative,,
,,,1/11/2023,29,California,Efrat,Operations,Male,Single,,,,Conservative,,
,,,1/11/2023,27,,,,Female,Single,,,,Orthodox,,
,,,1/11/2023,23,,Modi'in Ilit,Student,Male,Married,,,,Frum,,
,,,1/11/2023,18,,Modi'in Ilit,Student,Female,Single,,,,Frum,,
,,,1/11/2023,24,,Jerusalem,Other,Male,Single,,,,Yeshivish,,
,,,1/11/2023,19,New Jersey,Jerusalem,Student,Female,Single,,,,Modern Orthodox,,
,,,1/11/2023,21,NY,Jerusalem,,Male,Married,,,,Frum,,
,,,1/11/2023,21,,Ashdod,,Female,Married,,,,Orthodox,,
,,,1/11/2023,20,California,Jerusalem,Student,Female,Married,,,,Frum,,
,,,1/12/2023,29,Ontario,Jerusalem,Other,Female,Single,Ezrach Oleh,12/7/2022,AC80,Orthodox,,
,,,1/12/2023,49,Massachusetts,Ashkelon,Public Relations,Female,Single,Oleh,9/13/2022,UA6053/UA046/UA9240,Conservative,Bachelors Degree,
,,,1/16/2023,42,Ontario,Netanya,Real Estate Agent,Male,Married,Ezrach Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,42,Ontario,Netanya,Administration,Female,Married,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,10,Ontario,Netanya,,Male,Child,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,8,Ontario,Netanya,,Male,Child,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,7,Ontario,Netanya,,Female,Child,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,5,Ontario,Netanya,,Male,Child,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,3,Ontario,Netanya,,Female,Child,Oleh,11/8/2022,AC80,Conservative,,
,,,1/16/2023,22,Ontario,Netanya,Social Work,Female,Single,Oleh,11/8/2022,AC80,Traditional,,
,,,1/17/2023,22,Quebec,Jerusalem,Student,Male,Single,,,,Frum,,
,,,1/17/2023,24,New York,Jerusalem,Student,Male,Married,,,,Orthodox,,
,,,1/18/2023,0,Ontario,Jerusalem,,Male,Child,Oleh,9/21/2022,,Modern Orthodox,,
,,,1/18/2023,27,New York,Jerusalem,Customer Service,Female,Single,,6/11/2021,,Modern Orthodox,Diploma/GED,
,,,1/18/2023,73,New York,Jerusalem,CRA/CRO,Male,Married,Oleh,10/12/2021,DL234,Orthodox,Bachelors Degree,
,,,1/18/2023,69,New York,Jerusalem,Librarian/Library Science,Female,Married,Oleh,10/12/2021,DL234,Orthodox,Bachelors Degree,
,,,1/18/2023,32,,Jerusalem,Student,Male,Married,,,,Chasidish,,
,,,1/18/2023,31,,Jerusalem,,Male,Married,,,,Yeshivish,,
,,,1/18/2023,39,,Jerusalem,Sales,Male,Married,,,,Chasidish,,
,,,1/18/2023,61,,Jerusalem,Physicist,Male,Widowed,,,,Orthodox,,
,,,1/18/2023,23,Georgia,Jerusalem,,Female,Single,,,,Modern Orthodox,,
,,,1/18/2023,32,,Jerusalem,,Female,Married,,,,Yeshivish,,
,,,1/18/2023,23,,Jerusalem,,Male,Married,,,,Yeshivish,,
,,,1/18/2023,29,,Jerusalem,,Male,Married,,,,Yeshivish,,
,,,1/18/2023,26,,Jerusalem,Student,Male,Married,,,,Yeshivish,,
,,,1/18/2023,30,,Jerusalem,Kollel,Male,Married,,,,Frum,,
,,,1/18/2023,18,,Jerusalem,Student,Female,Single,,,,Orthodox,Diploma/GED,
,,,1/18/2023,27,,Jerusalem,,Female,Married,,,,Frum,,
,,,1/18/2023,19,,Bet Shemesh,,Female,Single,,,,Frum,,
,,,1/21/2023,21,,Tel Aviv-Yafo,,Female,Single,,,,Reform,,
,,,1/22/2023,29,,Bet Shemesh,,Female,Married,,,,Frum,,
,,,1/23/2023,58,California,Tel Aviv-Yafo,Interior Design,Female,Married,Oleh,9/12/2022,LY06,Conservative,,
,,,1/23/2023,67,New York,Jerusalem,Interior Design,Female,Married,,,,Modern Orthodox,Bachelors Degree,
,,,1/23/2023,25,,Jerusalem,Academia,Female,Married,,,,Chasidish,Associates Degree,
,,,1/23/2023,2,,Jerusalem,,Male,Child,,,,Chasidish,,
,,,1/24/2023,84,New York,Jerusalem,Retirement,Female,Married,Oleh,8/12/2021,LY02,Non-Affiliated,,
,,,1/24/2023,88,New York,Jerusalem,Retirement,Male,Married,Oleh,8/12/2021,LY02,Non-Affiliated,,
,,,1/24/2023,58,New York,Beit El,IT Manager,Male,Married,Ezrach Oleh,6/9/2022,UA84,Orthodox,,
,,,1/25/2023,22,New York,Moshav Hadid,Secretary,Female,Married,,,,Orthodox,,
,,,1/25/2023,32,,Jerusalem,Student,Male,Married,,,,Orthodox,,
,,,1/25/2023,25,,Betar Illit,Kollel,Male,Married,,,,Orthodox,,
,,,1/25/2023,64,Illinois,Jerusalem,Physician,Male,Married,Oleh,2/14/2022,UA140,Conservative,MD,
,,,1/25/2023,64,Illinois,Jerusalem,Interior Design,Female,Married,Oleh,2/14/2022,UA140,Conservative,Associates Degree,
,,,1/25/2023,54,Florida,Jerusalem,Lawyer,Male,Divorced,,,,Modern Orthodox,JD,
,,,1/25/2023,45,,Jerusalem,Admin Assistant,Female,Divorced,,,,Chabad,,
,,,1/25/2023,72,California,Jerusalem,,Male,Married,,,,Orthodox,,
,,,1/25/2023,89,New York,Ra'anana,Retirement,Male,Married,,,,Conservative,Other,
,,,1/25/2023,87,New York,Ra'anana,Retirement,Female,Married,,,,Conservative,,
,,,1/25/2023,26,Quebec,Tel Aviv-Yafo,Entrepreneur,Female,Single,,,,Traditional,Masters Degree,
,,,1/25/2023,26,New York,Beit Meir,Student,Male,Single,,,,Orthodox,Diploma/GED,
,,,1/25/2023,35,New York,Tel Aviv-Yafo,Student,Female,Single,,,,Modern Orthodox,,
,,,1/25/2023,23,,Jerusalem,,Male,Single,,,,Modern Orthodox,,
,,,1/25/2023,24,New York,Modiin,Academia,Female,Single,,,,Reform,,
,,,1/25/2023,25,Idaho,Rehovot,Education - Elementary,Female,Single,,,,Reform,,
,,,1/25/2023,23,,Tel Aviv-Yafo,,Female,Single,,,,Reform,,
,,,1/25/2023,19,New York,Pedu'el,Education - Jewish,Male,Single,,,,Chabad,,
,,,1/25/2023,23,,Tel Aviv-Yafo,,Female,Single,,,,Reform,,
,,,1/25/2023,24,Idaho,Tel Aviv-Yafo,,Female,Single,,,,Traditional,,
,,,1/25/2023,35,California,Rishon LeTsiyon,Public Relations,Female,Married,,,,Modern Orthodox,,
,,,1/25/2023,20,New York,Betar Illit,Kollel,Male,Married,,,,Chasidish,Other,
,,,1/25/2023,52,New York,Ra'anana,Physician,Male,Married,,,,Modern Orthodox,MD,
,,,1/25/2023,32,,Nirit,Environmental Science,Female,Single,,,,Other,Masters Degree,
,,,1/25/2023,26,New York,Haifa,Urban Planner,Female,Single,,,,Reform,,
,,,1/25/2023,24,,Jerusalem,,Female,Single,,,,Orthodox,,
,,,1/25/2023,25,New York,Jerusalem,Student,Female,Single,,,,Orthodox,,
,,,1/25/2023,69,,Jerusalem,Nurse,Female,Widowed,,,,Frum,,
,,,1/25/2023,33,,Ma'ale Amos,Education Other,Female,Married,,,,Yeshivish,,
,,,1/25/2023,11,,Ma'ale Amos,,Female,Child,,,,Yeshivish,,
,,,1/25/2023,7,,Ma'ale Amos,,Female,Child,,,,Yeshivish,,
,,,1/25/2023,5,,Ma'ale Amos,,Female,Child,,,,Yeshivish,,
,,,1/25/2023,2,,Ma'ale Amos,,Female,Child,,,,Yeshivish,,
,,,1/25/2023,0,,Ma'ale Amos,,Female,Child,,,,Yeshivish,,
,,,1/25/2023,33,,Kfar Chabad,,Male,Married,,,,Frum,,
,,,1/25/2023,32,California,Tel Aviv-Yafo,Advertising,Male,Single,,,,Reform,,
,,,1/25/2023,72,New York,Jerusalem,,Male,Married,,,,Yeshivish,,
,,,1/25/2023,81,,Giv'at Shmuel,,Male,Married,,,,Modern Orthodox,,
,,,1/25/2023,81,Illinois,Betar Illit,Retirement,Female,Divorced,,,,Modern Orthodox,Masters Degree,
,,,1/25/2023,25,,Jerusalem,Education - High School,Female,Married,,,,Frum,Diploma/GED,
,,,1/25/2023,19,,Jerusalem,,Male,Single,,,,Frum,,
,,,1/25/2023,29,,Holon,Student,Female,Single,,,,Traditional,,
,,,1/25/2023,21,Washington,Herzliya,Student,Female,Single,,,,Modern Orthodox,,
,,,1/25/2023,32,,Tel Aviv-Yafo,,Male,Single,,,,Traditional,,
,,,1/25/2023,20,,Tel Aviv-Yafo,,Male,Single,,,,Conservative,,
,,,1/25/2023,32,,Afula,,Female,Married,,,,Frum,,
,,,1/26/2023,23,Colorado,Tirat Carmel,Student,Female,Single,Ezrach Oleh,12/13/2022,LY06,Conservative,Diploma/GED,
,,,1/26/2023,62,British Columbia,Bet Shemesh,Other,Female,Married,Oleh Miyom Shuvo,7/5/2022,LY06,Modern Orthodox,,
,,,1/26/2023,63,British Columbia,Bet Shemesh,Engineer - Environmental,Male,Married,Oleh,7/5/2022,LY06,Modern Orthodox,,
,,,1/26/2023,48,Washington,Haifa,Dental Hygienist,Female,Married,Oleh,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,18,Washington,Haifa,,Female,Child,Temporary Resident,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,14,Washington,Haifa,,Female,Child,Temporary Resident,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,55,Washington,Haifa,Business,Male,Married,Oleh,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,11,Washington,Haifa,,Male,Child,Temporary Resident,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,7,Washington,Haifa,,Female,Child,Temporary Resident,3/22/2022,LY06,Non-Affiliated,,
,,,1/26/2023,24,California,Mahseya,Finance - Advisor,Male,Married,Ezrach Oleh,12/15/2022,LY06,Orthodox,,
,,,1/26/2023,69,California,Bet Shemesh,UX/UI Designer,Female,Married,Oleh,9/21/2022,LY06,Orthodox,Masters Degree,
,,,1/26/2023,23,California,Jerusalem,Chemist,Male,Single,Katin Chozer,10/12/2022,LY06,Conservative,,
,,,1/26/2023,25,,Jerusalem,,Male,Single,,,,Traditional,,
,,,1/29/2023,6,Florida,Tel Aviv-Yafo,,Female,Child,Temporary Resident,7/7/2022,TK78/TK7888,Non-Affiliated,,
,,,1/29/2023,42,Florida,Tel Aviv-Yafo,Product Development,Male,Married,Oleh,7/7/2022,TK78/TK7888,Non-Affiliated,Phd,
,,,1/29/2023,38,Florida,Tel Aviv-Yafo,Medical Lab Worker,Female,Married,Oleh,7/7/2022,TK78/TK7888,Non-Affiliated,,
,,,1/29/2023,2,Florida,Tel Aviv-Yafo,,Female,Child,Temporary Resident,7/7/2022,TK78/TK7888,Non-Affiliated,,
,,,1/31/2023,25,New York,Jerusalem,Student,Female,Single,Temporary Resident,4/23/2019,,Orthodox,,
,,,1/31/2023,25,Ontario,Tel Aviv-Yafo,Media,Female,Single,,,,Other,,
,,,2/1/2023,92,Maryland,Jerusalem,Education Administration,Female,Widowed,Oleh,4/13/2021,LY08,Orthodox,Masters Degree,
,,,2/1/2023,56,New York,Tel Aviv-Yafo,Architecture,Female,Single,Oleh,7/28/2021,LY08,Modern Orthodox,,
,,,2/1/2023,48,New York,Jerusalem,Social Work,Female,Married,Oleh,11/17/2022,LY08,Modern Orthodox,Masters Degree,
,,,2/1/2023,24,Connecticut,Jerusalem,Human Resources/Recruitment,Female,Single,Oleh,11/9/2022,LY08,Modern Orthodox,,
,,,2/1/2023,72,New York,Bet Shemesh,Education - High School,Female,Married,Oleh,9/8/2022,LY08,Orthodox,,
,,,2/1/2023,75,New York,Bet Shemesh,Architecture,Male,Married,Oleh,9/8/2022,LY08,Orthodox,,
,,,2/1/2023,75,New York,Jerusalem,Retirement,Female,Divorced,Oleh,9/16/2022,LY08,Orthodox,,
,,,2/1/2023,70,New York,Jerusalem,Retirement,Female,Single,Oleh,8/25/2022,LY08,Chabad,,
,,,2/1/2023,60,Ohio,Jerusalem,Mechanic,Male,Married,Oleh,12/13/2022,LY08,Modern Orthodox,Bachelors Degree,
,,,2/1/2023,60,Maryland,Jerusalem,Engineer - Computer,Female,Single,Oleh,7/18/2022,LY08,Ultra Orthodox,Bachelors Degree,
,,,2/1/2023,72,Maryland,Jerusalem,Retirement,Female,Married,Oleh,5/11/2022,LY08,Orthodox,,
,,,2/1/2023,73,Maryland,Jerusalem,Actuary,Male,Married,Oleh,5/11/2022,LY08,Orthodox,Masters Degree,
,,,2/1/2023,72,New Jersey,Jerusalem,Self Employed/Small Business,Male,Married,Oleh,11/1/2022,LY08,Modern Orthodox,Masters Degree,
,,,2/1/2023,27,California,Ramat Gan,Other,Male,Single,Oleh,4/4/2022,LY18,Reform,,
,,,2/1/2023,75,New Jersey,Jerusalem,Environmental Science,Female,Married,Gorer Zakaut (Haarachat zakaut),10/3/2022,UA9254/ LH680,Orthodox,Doctorate Degree,
,,,2/1/2023,76,New Jersey,Jerusalem,Mathematician,Male,Married,Gorer Zakaut (Haarachat zakaut),10/3/2022,UA9254/ LH680,Orthodox,Doctorate Degree,
,,,2/1/2023,32,Oregon,Tel Aviv-Yafo,Customer Service,Male,Single,Oleh,8/2/2022,LY08,Modern Orthodox,,
,,,2/1/2023,65,Massachusetts,Netanya,Physician,Male,Married,Oleh,11/10/2022,LY08,Modern Orthodox,Phd,
,,,2/1/2023,64,Massachusetts,Netanya,Education Administration,Female,Married,Oleh,11/10/2022,LY08,Modern Orthodox,Doctorate Degree,
,,,2/1/2023,53,Florida,Ra'anana,Physician,Male,Married,Oleh,10/20/2022,LY08,Conservative,MD,
,,,2/1/2023,39,Florida,Ra'anana,Physician,Female,Married,Oleh,10/20/2022,LY08,Conservative,MD,
,,,2/1/2023,4,Florida,Ra'anana,,Male,Child,Oleh,10/20/2022,LY08,Conservative,,
,,,2/1/2023,0,Florida,Ra'anana,,Male,Child,Oleh,10/20/2022,LY08,Conservative,,
,,,2/1/2023,35,New York,Pardes Hanna-Karkur,Fashion,Female,Single,Oleh,9/15/2022,LY08,Modern Orthodox,,
,,,2/1/2023,,Michigan,Modi'in-Maccabim-Re'ut,,Female,Child,Oleh,9/23/2022,LY08,Modern Orthodox,,
,,,2/1/2023,38,Michigan,Modi'in-Maccabim-Re'ut,Lawyer,Female,Married,Oleh,9/23/2022,LY08,Modern Orthodox,JD,
,,,2/1/2023,40,Michigan,Modi'in-Maccabim-Re'ut,Physician,Male,Married,Oleh,9/23/2022,LY08,Modern Orthodox,MD,
,,,2/1/2023,12,Michigan,Modi'in-Maccabim-Re'ut,,Male,Child,Oleh,9/23/2022,LY08,Modern Orthodox,,
,,,2/1/2023,11,Michigan,Modi'in-Maccabim-Re'ut,,Female,Child,Oleh,9/23/2022,LY08,Modern Orthodox,,
,,,2/1/2023,2,Michigan,Modi'in-Maccabim-Re'ut,,Male,Child,Oleh,9/23/2022,LY08,Modern Orthodox,,
,,,2/1/2023,28,New Jersey,Bet Shemesh,Social Work,Male,Married,Oleh,11/22/2022,LY08,Modern Orthodox,Masters Degree,
,,,2/1/2023,27,New Jersey,Bet Shemesh,Nurse,Female,Married,Oleh,11/22/2022,LY08,Modern Orthodox,Bachelors Degree,
,,,2/1/2023,1,New Jersey,Bet Shemesh,,Female,Child,Oleh,11/22/2022,LY08,Modern Orthodox,,
,,,2/1/2023,20,California,Herzliya,Student,Female,Single,Temporary Resident,9/7/2022,,Modern Orthodox,,
,,,2/1/2023,36,New York,Tel Aviv-Yafo,Fashion,Female,Single,Katin Chozer,9/7/2022,LY08,Non-Affiliated,,
,,,2/1/2023,30,New York,Jerusalem,Social Work,Female,Single,Katin Chozer,10/26/2022,LY08,Frum,Bachelors Degree,
,,,2/1/2023,31,New Jersey,Netanya,Operations,Male,Single,Katin Chozer,10/21/2022,LY08,Conservative,Diploma/GED,
,,,2/1/2023,24,New York,Jerusalem,Student,Male,Married,,,,Frum,,
,,,2/2/2023,26,New York,Jerusalem,Accountant-Tax,Male,Married,Temporary Resident,10/14/2016,,Modern Orthodox,Masters Degree,
,,,2/2/2023,31,Ohio,Haifa,Other,Male,Single,Oleh,9/15/2022,LY18,Conservative,,
,,,2/3/2023,25,New York,Kibbutz Ramat Hakovesh,Student,Male,Single,,,,Non-Affiliated,,
,,,2/3/2023,74,California,Jerusalem,Social Work,Female,Married,Oleh,12/14/2022,LY06,Orthodox,Doctorate Degree,
,,,2/3/2023,84,California,Jerusalem,Retirement,Male,Married,Oleh,12/14/2022,LY06,Orthodox,,
,,,2/3/2023,22,Ontario,Tel Aviv-Yafo,Research Analyst,Female,Single,,,,Non-Affiliated,,
,,,2/5/2023,23,,Netanya,,Male,Single,,,,Reform,,
,,,2/6/2023,18,,Tel Aviv-Yafo,Food Services,Female,Single,,,,Modern Orthodox,Diploma/GED,
,,,2/7/2023,67,Indiana,Ramat Beit Shemesh,Retirement,Female,Married,Oleh,9/29/2022,LY18,Frum,,
,,,2/7/2023,72,Indiana,Ramat Beit Shemesh,Lawyer,Male,Married,Oleh,9/29/2022,LY18,Frum,,
,,,2/7/2023,56,Florida,Netanya,Project Manager,Female,Divorced,Oleh,11/3/2022,LY18,Traditional,,
,,,2/7/2023,24,Georgia,Ramat Gan,Data Scientist,Male,Single,Oleh,10/31/2022,LY18,Conservative,,
,,,2/7/2023,24,New Jersey,Kefar Sava,Basketball Player,Male,Single,Oleh,12/8/2022,LY18,Reform,Bachelors Degree,
,,,2/8/2023,73,California,Jerusalem,Physician,Male,Married,Oleh,8/31/2021,LY06,Orthodox,Doctorate Degree,
,,,2/8/2023,18,Quebec,Yavne,Student,Female,Single,Ezrach Oleh,4/12/2022,AC411/AC80,Conservative,,
,,,2/8/2023,61,Ontario,Harish,Psychologist - Clinical,Male,Married,Oleh,11/8/2022,AC80,Orthodox,Doctorate Degree,
